ARG	ARG Category	Total Read Count
qacEdelta1	Efflux	682
cmlA8	Efflux	591
OXA-1163	Inactivation	260
Mef(En2)	Efflux	248
MexF	Efflux	230
acrB	Efflux	220
AcrF	Efflux	191
MexK	Efflux	175
mdtF	Efflux	157
mdtC	Efflux	142
