Genome,ERR11181229.sorted Relative Abundance (%),ERR11181230.sorted Relative Abundance (%),ERR11181231.sorted Relative Abundance (%),ERR11181232.sorted Relative Abundance (%),ERR11181233.sorted Relative Abundance (%),ERR11181234.sorted Relative Abundance (%),ERR11181235.sorted Relative Abundance (%),ERR11181236.sorted Relative Abundance (%),ERR11181237.sorted Relative Abundance (%),ERR11181238.sorted Relative Abundance (%),ERR11181239.sorted Relative Abundance (%),ERR11181240.sorted Relative Abundance (%),ERR11181241.sorted Relative Abundance (%),ERR11181242.sorted Relative Abundance (%),ERR11181243.sorted Relative Abundance (%),ERR11181244.sorted Relative Abundance (%),ERR11181245.sorted Relative Abundance (%),ERR11181246.sorted Relative Abundance (%),ERR11181247.sorted Relative Abundance (%),ERR11181248.sorted Relative Abundance (%),ERR11181249.sorted Relative Abundance (%),ERR11181250.sorted Relative Abundance (%),TotalAbundance
binning_output.155,0.0,0.0,0.029684912,0.048246536,0.014862822,0.059302405,0.051153358,0.023532743,0.0,0.038577143,0.0,0.037577976,0.0522643,0.032886952,0.024610745,0.06544434,0.04142252,0.0,0.02000854,0.017368311,0.0826557,0.0,0.6395993029999999
binning_output.156,0.039740562,0.0,0.047481563,0.078293726,0.053109903,0.021068215,0.024606768,0.017110229,0.017178372,0.020812087,0.0,0.0,0.030145276,0.03642813,0.020372886,0.051280618,0.024170956,0.04810214,0.038544744,0.03230157,0.037566025,0.0,0.6383137699999999
binning_output.152,0.020431345,0.0,0.06350627,0.029940192,0.028038658,0.04180438,0.03837264,0.0092894295,0.0,0.0148325125,0.0,0.13369977,0.043683656,0.032375187,0.10367039,0.0,0.0,0.0,0.05712017,0.0,0.02137426,0.0,0.6381388600000001
binning_output.176,0.027860008,0.0,0.023570215,0.015822116,0.019269966,0.032810055,0.039174195,0.0,0.11104143,0.031174589,0.03883257,0.02405997,0.045357425,0.014584218,0.014919187,0.03878078,0.037581034,0.03702406,0.016536044,0.029191002,0.03871812,0.0,0.636306984
binning_output.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63559425,0.0,0.63559425
binning_output.243,0.021180876,0.031581808,0.017548488,0.036700387,0.019996986,0.015014398,0.025072843,0.012537244,0.028419636,0.01778781,0.02355814,0.039410472,0.018151453,0.0,0.018430926,0.046650596,0.042730134,0.051562186,0.015200864,0.0175941,0.0,0.12951885,0.628648197
binning_output.162,0.016294206,0.0,0.026653703,0.041108005,0.03126057,0.035989232,0.041001365,0.03757636,0.074066415,0.046538383,0.0,0.02465113,0.03571484,0.049407743,0.035877846,0.0,0.054774314,0.030102367,0.014860012,0.032250226,0.0,0.0,0.6281267170000001
binning_output.165,0.0,0.0,0.0,0.0,0.0,0.014366884,0.14271066,0.013445202,0.0,0.105826534,0.0,0.031060344,0.047196597,0.018102484,0.012734726,0.06319798,0.024728777,0.11127413,0.015287523,0.019990422,0.0,0.0,0.619922263
binning_output.172,0.017297043,0.0,0.1941823,0.0,0.09547437,0.0,0.035210703,0.0,0.0,0.01649829,0.0,0.0,0.049287736,0.0,0.011970771,0.022331662,0.0,0.0,0.100374006,0.0,0.07680168,0.0,0.619428561
binning_output.192,0.0,0.0,0.034784965,0.016964912,0.02563544,0.0,0.025443828,0.0,0.015262346,0.023877304,0.0,0.0,0.11408881,0.0,0.014495408,0.13023393,0.02354512,0.052043006,0.03223384,0.0,0.057251994,0.050611295,0.6164721979999999
