Contig	ERR11181229.sorted Read Count	ERR11181230.sorted Read Count	ERR11181231.sorted Read Count	ERR11181232.sorted Read Count	ERR11181233.sorted Read Count	ERR11181234.sorted Read Count	ERR11181235.sorted Read Count	ERR11181236.sorted Read Count	ERR11181237.sorted Read Count	ERR11181238.sorted Read Count	ERR11181239.sorted Read Count	ERR11181240.sorted Read Count	ERR11181241.sorted Read Count	ERR11181242.sorted Read Count	ERR11181243.sorted Read Count	ERR11181244.sorted Read Count	ERR11181245.sorted Read Count	ERR11181246.sorted Read Count	ERR11181247.sorted Read Count	ERR11181248.sorted Read Count	ERR11181249.sorted Read Count	ERR11181250.sorted Read Count
BAE78084.1	0	0	3	14	3	23	12	28	11	0	0	21	3	11	34	0	28	1	2	6	4	0
AAO82599.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC75733.1	0	1	0	10	8	42	5	46	21	5	1	24	3	14	50	2	25	3	7	9	5	0
AAA99505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA20116.1	1	1	0	5	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0
AAR96051.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD51344.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BAA07390.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAK99775.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC36944.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC44316.1	64	2	85	139	100	132	101	122	234	91	32	99	93	231	129	31	178	135	120	237	27	3
AAC72341.1	5	0	6	1	3	3	0	0	2	0	4	4	9	0	4	0	6	0	5	6	12	0
AML99881.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL30186.1	2	0	0	0	0	0	1	2	2	0	2	1	1	0	0	0	3	0	4	0	0	0
AAG05913.1	0	0	0	0	0	2	0	0	1	0	0	0	2	4	0	0	0	3	0	1	0	0
BAH63251.1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	7	0	0	0	0	0
CAB13166.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC75135.2	0	0	4	11	1	22	1	11	15	0	0	21	1	15	39	2	15	3	2	3	2	0
AAG07065.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAJ77857.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA71915.1	21	0	93	273	108	53	69	112	65	25	0	15	124	230	702	19	314	343	192	64	47	2
AAG07593.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC43969.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACJ41739.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QJR33972.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC76297.1	6	0	4	15	1	19	2	31	14	2	0	17	5	10	68	0	33	7	3	2	0	0
BAA34299.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAA64891.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG03546.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWQ04090.1	0	0	0	3	2	14	1	7	2	4	0	1	0	6	14	0	5	1	0	2	1	0
BAC11911.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC67143.1	2	0	4	2	2	5	1	13	1	0	0	2	2	3	3	0	14	0	6	4	0	0
AAB84282.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAB41958.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAV85981.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAC41008.1	0	0	0	1	2	2	3	0	0	0	0	3	0	2	2	0	20	0	0	0	0	0
BAA11236.1	0	0	0	4	8	23	3	24	16	2	0	14	7	11	30	0	39	4	1	0	4	0
BAG75524.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACJ63262.1	46	0	44	45	10	6	9	3	2	18	0	0	2	38	9	0	2	9	20	74	6	0
ACJ41547.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAB13167.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QHW12307.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAF27726.1	0	0	6	11	4	6	8	7	46	6	0	0	4	13	4	2	14	14	5	6	0	0
ABV18113.1	0	0	2	5	2	24	8	23	16	0	0	16	0	12	42	2	25	5	0	4	10	0
AFK58561.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKW44661.1	0	0	1	0	0	4	1	0	0	1	0	0	2	0	0	0	1	0	1	5	0	0
QNR09091.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACQ82816.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD09860.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAE78082.1	0	0	7	10	11	33	6	22	13	4	0	14	1	10	44	0	46	9	6	10	6	0
AAG07592.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEM62948.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAK99679.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAL75563.1	0	0	0	2	0	0	4	2	6	0	0	1	0	1	0	0	2	1	0	0	0	0
AAQ10694.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAL43360.1	27	3	17	16	37	46	24	37	33	21	15	97	53	16	53	31	275	41	37	35	39	4
AAM77075.1	8	1	46	97	46	51	36	31	150	47	2	10	30	119	62	7	94	66	39	125	10	0
AAB41956.1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ALV80601.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC43550.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABF33001.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QIQ10744.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFK80333.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG16656.1	0	0	25	4	4	3	2	13	3	5	0	6	5	7	9	0	5	5	6	5	4	0
CAC80727.1	0	0	12	0	0	0	0	7	0	0	0	0	4	2	0	0	0	0	14	5	4	0
AMD83542.1	0	0	1	0	0	14	1	4	1	0	2	6	0	0	16	0	13	4	0	0	1	0
AAF74725.1	50	0	50	55	46	55	29	10	16	21	0	85	50	434	98	1	13	30	30	35	26	0
AAD12753.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAA03986.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAA42594.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMP42492.1	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	2	0	0	0	0	4	0
BAA07072.1	0	0	5	2	1	0	1	14	0	0	0	2	23	2	8	2	4	0	2	4	1	0
CAA76544.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD25063.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD25538.1	2	0	10	9	4	13	1	16	11	5	4	45	11	8	17	16	29	8	4	25	4	0
BAH63252.1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	5	0	0	0	0	0
AAC73565.1	4	0	2	13	8	51	4	34	12	4	0	20	9	16	25	0	31	11	4	10	10	0
CAD70268.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAD31707.1	3	0	10	13	9	11	9	7	52	12	0	4	9	39	21	5	14	28	24	33	7	0
AAB58160.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA26057.1	2	0	25	29	23	26	28	20	75	24	0	16	21	67	51	6	36	35	34	52	3	2
QQA64076.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACF70723.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QQM99829.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AAK52606.1	4	0	21	13	11	28	30	26	54	13	0	12	4	38	33	3	48	29	11	47	0	0
