SampleID,rphB,OXA-237,OXY-3-1,EreA,cmlv,rphA,FosM1,lin,IMP-37,OXA-1243,CfxA5,SHV-122,CMY-89,CGA-1,ASU1-1,BUT-1,OXA-1091,CIA-1,OXA-245,vatC,tet(50),CAE-1,FOX-18,Streptomyces venezuelae rox,WUS-1,vatF,FosX,OXA-1108,RAHN-5,OXA-959,LRA-9,OXA-1206,SSA,OXA-22,vgbC,PRC-1,CHM-1,RAA-1,AAC(3)-Id,ADC-355,catB9,LMB-1,nimF,FAR-1,OXA-53,OXA-1106,OXA-1051,PDC-89,FosBx1,aadA25,CMY-192,LRA-13,tet(X4),APH(6)-Id,Clostridioides difficile nimB,PER-1,KPC-30,SHV-173,FomB,OXA-1056,EBR-2,ANT(6)-Ia,AAC(3)-Ib,aadA2,APH(7'')-Ia,IMP-21,BRO-2,ANT(3'')-II-AAC(6')-IId bifunctional protein,vph,APH(2'')-If,DIM-1,RCP-1,IDC-1,CMY-144,MexA,MexK,smeD,lmrB,amrA,opmE,OprM,MexB,cmeB,MuxB,patB,TaeA,OprN,AcrF,mlaF,tetB(46),mexN,tet(L),mdsB,LptD,adeK,mdtC,mdsC,mexY,tetA(46),rosB,patA,MexD,LpeB,cprR,cmlA8,fexB,smeE,abeM,qacA,smeC,RanA,adeB,Enterococcus faecium liaR mutant conferring daptomycin resistance,tet(42),Neisseria gonorrhoeae mtrR with mutation conferring resistance,mtrD,msbA,oqxB,TriC,MexE,MuxC,lmrD,oleC,ceoB,adeJ,pexA,MexI,bmr,cdeA,macB,basR,efrB,Acinetobacter baumannii AbaF,kdpE,acrB,tet(K),qacE,TriB,hmrM,MexW,mdtF,tet(39),bcrA,tetA(58),mreA,YojI,cmlA9,mdtB,tet(40),tetB(58),kdpD,novA,MexF,cmx,rosA,tet(33),mtrC,mexQ,tetA(60),mdtM,MexV,basS,Escherichia coli emrE,efpA,mexM,tet(65),smeB,farB,adeF,Enterococcus faecalis liaS mutant conferring daptomycin resistance,smeF,mdtO,tetB(60),Staphylococcus aureus LmrS,PmpM,QepA4,OpmH,tet(C),OpmD,otr(B),tet(41),Escherichia coli mdfA,mdtH,Staphylococcus aureus norA,amrB,mexP,MuxA,emrA,adeC,emrY,sdrM,hp1181,tet(H),qacL,qacJ,mdsA,Enterobacter cloacae acrA,cmeC,Pseudomonas aeruginosa emrE,oqxA,OprA,adeA,farA,Neisseria gonorrhoeae mtrC with mutation conferring resistance to azithromycin,Enterococcus faecium liaF mutant conferring daptomycin resistance,LpeA,adeH,tet(57),RanB,tet(43),cmeA,mdtE,cprS,cmrA,cmlB,Rhodococcus fascians cmr,TolC,mdtN,Enterococcus faecalis liaR mutant conferring daptomycin resistance,emrB,bcrB,tetA(P),otr(C),smeA,tcr3,mef(E),blt,qacEdelta1,tet(Y),MdtK,cmlB1,OpmB,Klebsiella pneumoniae KpnE,ykkC,mdtA,MexJ,adeG,tet(E),MexH,opcM,adeI,tet(63),AcrE,mexX,mtrE,TriA,mlaD,emeA,tet(B),tet(V),OprJ,macA,Klebsiella pneumoniae acrA,emrK,efmA,mef(B),Acinetobacter baumannii AbaQ,ykkD,mef(D),cmlA4,mdtG,Enterococcus faecium liaS mutant conferring daptomycin resistance,YajC,mef(F),Acinetobacter baumannii AmvA,tet(30),mdtP,MexG,tet(45),pmrA,tet(D),qacB,mef(C),cmlA5,MexC,bcr-1,lfrA,lmrP,tet(62),facT,floR,tet(31),aadT,Mef(En2),tet(J),tap,Streptomyces lividans cmlR,tet(59),pp-flo,qacH,tet(Z),tet(G),Klebsiella pneumoniae KpnF,Escherichia coli acrA,fexA,Salmonella enterica cmlA,ceoA,cmlA1,mef(J),QepA2,mef(H),cmlA6
ERR11181239 ,0,0,0,19,0,0,0,0,0,59,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,77,0,0,0,0,0,0,0,0,0,21,0,0,0,16,0,0,0,2,0,0,0,13,0,0,0,0,0,20,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,26,0,30,0,0,0,0,6,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ERR11181240 ,0,4,2,55,0,0,0,0,0,212,114,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,164,1,0,34,148,0,6,0,0,0,0,0,7,4,66,0,0,0,120,0,0,0,0,1,1,0,12,0,0,0,0,0,0,0,5,1,0,2,71,22,2,0,3,0,0,0,29,0,0,0,0,0,2,0,0,6,0,12,0,0,0,0,0,0,0,0,0,23,3,2,0,0,6,0,2,16,0,2,0,0,0,0,0,0,16,63,0,4,0,0,6,37,602,0,0,0,23,43,35,44,0,0,0,19,2,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,38,0,0,0,0,2,128,0,0,0,18,10,0,0,0,0,18,0,30,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,14,21,0,24,0,0,0,0,0,0,0,99,4,0,1,0,1,0,21,0,0,15,0,0,0,0,17,0,0,0,1,0,2,0,2,0,3,14,0,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,1,0,97,10,0,0,0,0,0,0,6,0,6,85,0,0,0,0,2,0,0,45,1,20,0,4,0,16,0,0,0,12
ERR11181241 ,0,0,0,16,0,0,0,0,0,112,49,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,3,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,119,0,0,31,94,0,73,0,0,0,0,0,4,0,56,0,0,2,75,0,0,0,13,0,1,0,51,1,0,0,0,0,25,0,9,0,0,0,16,4,0,0,4,0,0,2,7,0,2,0,0,0,3,0,0,0,0,36,0,0,4,0,0,0,0,0,0,6,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,16,0,2,0,0,20,13,79,0,0,0,6,1,18,9,0,0,0,73,3,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,14,0,0,0,0,9,109,0,0,0,7,6,0,0,0,0,12,0,3,0,0,10,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,3,0,0,0,1,0,0,0,93,9,0,1,2,0,0,1,0,0,124,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,7,0,2,0,0,0,4,0,0,2,0,0,0,1,0,0,0,0,0,53,30,0,0,0,0,0,0,5,4,0,50,0,0,0,19,23,0,0,11,0,9,0,9,0,21,0,0,0,4
ERR11181242 ,0,0,0,83,0,0,0,0,0,434,459,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,41,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,334,2,0,9,163,0,8,0,2,0,1,0,5,0,77,0,0,0,331,0,0,0,0,1,6,0,19,0,0,0,0,0,26,0,2,0,0,0,38,19,0,2,2,0,8,2,12,0,0,0,0,0,1,0,0,6,0,10,0,0,0,0,0,0,0,0,4,17,16,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,14,0,0,31,34,134,0,0,0,15,23,42,21,0,0,0,62,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,582,0,0,0,6,6,0,0,0,0,14,0,20,0,0,4,28,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,11,0,14,0,2,0,0,0,0,0,231,0,0,0,4,0,0,15,0,0,230,0,0,0,0,10,0,0,0,6,0,3,0,0,0,2,11,0,38,0,0,0,13,12,0,0,0,0,0,10,0,0,0,1,0,16,119,0,0,0,0,0,0,7,2,0,434,0,0,0,0,2,0,0,8,0,16,0,39,0,67,0,0,1,38
ERR11181243 ,0,6,4,25,0,0,0,0,0,217,170,3,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,7,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,220,24,0,41,199,0,37,0,0,0,0,2,13,7,103,0,0,0,281,0,0,0,0,0,10,0,31,4,0,0,0,0,26,0,9,0,0,3,136,15,6,2,2,2,6,4,103,0,4,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,44,14,7,3,0,0,0,0,19,0,1,0,0,0,0,0,0,20,132,0,10,0,0,42,138,1135,0,0,0,56,18,130,149,0,0,0,75,2,0,0,0,2,0,17,0,0,2,0,0,0,0,0,0,0,0,109,0,0,6,0,17,201,0,0,0,20,34,0,0,0,0,29,0,25,0,0,7,11,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,63,34,0,50,0,3,0,0,0,0,0,129,4,0,0,0,1,0,39,0,0,702,0,0,0,0,68,0,0,0,14,0,3,0,0,0,2,30,0,9,0,0,0,4,42,0,0,0,0,0,44,0,0,0,0,0,53,62,0,0,0,0,0,0,9,0,16,98,0,0,0,0,8,0,0,17,0,25,0,21,0,51,0,0,0,33
ERR11181244 ,0,1,0,5,0,0,0,0,0,54,15,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,2,33,0,12,0,0,0,0,0,0,0,8,0,0,0,21,0,0,0,4,0,0,0,14,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,4,0,0,0,6,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,17,0,0,0,2,4,0,9,0,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,16,0,0,0,5,0,6,0,0,0,3
ERR11181245 ,0,1,0,21,0,0,0,0,0,330,115,3,4,0,0,0,0,0,21,0,0,4,15,0,0,0,0,9,4,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,375,6,0,37,183,0,23,2,3,0,0,0,1,4,127,0,0,0,337,0,0,0,0,0,6,0,13,3,0,0,0,0,11,0,11,4,0,0,72,20,0,0,0,2,32,0,64,0,0,0,0,0,1,0,0,4,0,67,0,0,0,0,0,0,0,0,0,43,18,4,0,2,0,0,1,12,0,4,0,0,0,0,0,0,17,97,0,13,0,0,16,93,746,0,0,0,42,26,58,6,0,0,0,47,1,0,0,0,0,0,23,0,0,1,0,0,0,2,0,0,0,0,31,0,0,1,0,6,370,0,0,0,19,40,0,0,0,0,13,0,53,0,0,0,63,0,0,6,0,0,14,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,48,28,0,25,0,0,0,0,0,0,0,178,6,0,3,0,7,0,15,0,0,314,0,0,0,0,33,0,0,0,5,0,14,0,0,0,20,39,0,2,0,0,0,14,25,0,1,0,0,0,46,0,0,0,2,0,275,94,0,0,0,0,0,0,5,0,13,13,0,0,0,0,4,0,0,29,5,31,0,14,0,36,0,0,0,48
ERR11181246 ,0,0,0,19,0,0,0,0,0,268,35,0,0,0,0,0,0,0,16,0,0,0,10,0,0,0,0,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,11,86,0,28,0,0,0,0,0,0,2,67,0,0,0,145,0,0,0,0,0,2,0,52,0,0,0,0,0,75,0,29,0,0,0,12,0,0,0,0,0,2,0,14,0,4,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,3,1,5,0,0,2,0,0,2,0,0,0,0,0,0,1,3,0,2,0,0,47,10,73,0,0,0,4,18,10,5,0,0,0,88,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,13,217,0,0,0,2,0,0,0,0,0,1,0,4,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,135,0,0,0,3,0,0,3,0,0,343,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,4,0,9,0,0,0,14,5,0,0,0,0,0,9,0,0,0,1,0,41,66,0,0,0,0,0,0,5,0,4,30,0,0,0,0,0,0,0,8,0,11,0,28,0,35,0,0,0,29
ERR11181247 ,0,1,0,30,0,0,0,0,0,177,52,0,4,0,0,0,0,0,25,0,0,0,23,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,214,0,0,14,136,0,69,0,0,0,0,0,4,0,75,0,0,0,158,0,0,0,2,0,0,0,18,0,0,0,0,0,18,0,1,0,0,0,14,1,0,0,2,0,0,0,6,0,0,0,0,0,10,0,0,1,0,4,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,15,0,6,0,0,41,18,307,0,0,0,0,9,8,9,0,0,0,44,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,6,184,0,0,0,0,0,0,0,0,0,5,0,9,0,0,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,2,0,7,0,0,0,0,0,0,0,120,5,0,4,0,0,0,2,0,0,192,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,1,0,20,0,0,0,5,0,0,1,0,0,0,6,0,0,0,0,0,37,39,0,0,0,0,0,0,6,14,0,30,0,0,0,0,2,0,0,4,0,4,0,24,0,34,0,0,0,11
ERR11181248 ,0,0,0,52,0,0,0,0,0,335,14,0,0,0,0,0,0,0,17,0,0,0,12,0,0,1,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,309,7,0,8,162,0,29,0,0,0,0,0,8,0,95,0,0,0,170,0,0,0,0,0,0,0,27,0,0,0,0,0,29,0,9,0,0,0,15,2,0,0,36,0,0,2,4,0,0,0,0,0,5,0,0,1,0,6,0,0,0,0,0,0,0,0,0,10,18,4,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,19,0,9,0,0,26,21,138,0,0,0,3,25,8,12,0,0,0,103,10,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,580,0,0,0,2,2,0,0,0,0,8,0,4,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,0,9,0,0,0,0,0,0,0,237,6,0,0,1,0,0,3,0,0,64,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,74,0,0,0,6,4,0,5,0,0,0,10,0,0,0,0,0,35,125,0,0,0,0,0,0,5,5,0,35,0,0,0,0,4,0,0,25,0,10,0,33,0,52,0,0,0,47
ERR11181249 ,0,0,0,15,0,0,0,0,0,72,68,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,8,0,2,24,0,6,0,0,0,2,0,0,0,16,0,0,6,47,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,26,1,0,0,4,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,5,4,29,0,0,0,4,8,7,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,77,0,0,0,11,0,0,0,0,0,0,0,4,0,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,4,0,5,0,0,0,0,0,0,0,27,12,0,0,0,0,0,2,0,0,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,39,10,0,0,0,0,0,0,4,4,1,26,0,0,0,4,1,0,0,4,0,10,0,7,0,3,0,0,0,0
ERR11181250 ,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
